Subject	Test	Qns	Test Paper
Quants	QA11	55	QA011b,1,55
Quants	QA12	49	QA012b,1,49
Quants	QA13	55	QA013b,1,55
Quants	QA14	49	QA014b,1,49
Quants	QA15	66	QA015b,1,66
Quants	QA16	68	QA016b,1,68
Quants	QA21	53	QA021b,1,53
Quants	QA22	50	QA022b,1,50
Quants	QA23	56	QA023b,1,56
Quants	QA24	57	QA024b,1,57
Quants	QA25	62	QA025b,1,62
Quants	QA26	59	QA026b,1,59
Quants	QA31	56	QA031b,1,56
Quants	QA32	54	QA032b,1,54
Quants	QA33	52	QA033b,1,52
Quants	QA34	52	QA034b,1,54
Quants	QA35	55	QA035b,1,55
Quants	QA41	57	QA041b,1,57
Quants	QA42	55	QA042b,1,55
Quants	QA43	51	QA043b,1,51
Quants	QA44	50	QA044b,1,50
Quants	QA45	60	QA045b,1,60
Quants	QA46	60	QA046b,1,60
Reasoning	RE51	55	RE051b,1,55
Reasoning	RE52	55	RE052b,1,55
Reasoning	RE53	53	RE053b,1,53
Reasoning	RE54	39	RE054b,1,39
Reasoning	RE55	55	RE055b,1,55
Reasoning	RE56	49	RE056b,1,49
Reasoning	RE57	60	RE057b,1,60
Reasoning	RE58	56	RE058b,1,56
Reasoning	RE59	55	RE059b,1,55
Reasoning	RE60	57	RE060b,1,57
Reasoning	RE61	58	"RE061b,1,58 (509 1-20, -> RE061b 1-20 | 522 6-10 -> RE061b 40-44 | 4012 6-11 -> RE061b 45-50)
509,1,20|522,6,10|4012,6,11
1-20            40-44        45-51"
Reasoning	RE62	55	RE062b1,1,55
Reasoning	RE63	50	"RE063b,1,63       (507 21-40 -> 65 1-20    |   528 21-40-> 65 21-40)
507,21,40|528,21,40"
Reasoning	RE64	79	RE064b,1,79
Reasoning	RE65	50	RE065b,1,50
Reasoning	RE66	48	RE066b,1,48
Reasoning	RE67	85	RE067b,1,85
Reasoning	RE68	45	RE068b,1,45
Verbal	VA41	90	VA001b,1,90
Verbal	VA42	78	VA002b,1,78
Verbal	VA43	69	VA003b,1,69
Verbal	VA44	63	VA004b,1,63
Verbal	VA45	78	VA005b,1,78
Verbal	VA46	55	VA46,1,55
Verbal	VA47	25	VA47,1,25
Verbal	VA48	25	VA48,1,25
Verbal	VA49	25	VA49,1,25
Verbal	VA50	50	
Verbal	VA51	25	
Verbal	VA52	25	
C MCQ	TMC01		testPaper=TE051b,121,122|TE051b,124,140|TE051b,7,7!Assessment Test #001,20,60
C MCQ	TMC02		testPaper=TE051b,3,3|TE051b,6,6|TE051b,8,11|TE051b,13,20|TE051b,41,41|TC1,1,5!Assessment Test #002,20,60
C MCQ	TMC03		testPaper=TE051b,42,42|TE051b,45,46|TE051b,23,23|TC1,6,21!Assessment Test #003,20,60
C MCQ	TMC04		testPaper=TE051b,49,49|TC1,22,40!Assessment Test #004,20,60
