Subject	Test	Qns	Test Paper
Quants	QA11	55	QA011b,1,55
Quants	QA12	49	QA012b,1,49
Quants	QA13	55	QA013b,1,55
Quants	QA14	49	QA014b,1,49
Quants	QA15	66	QA015b,1,66
Quants	QA16	68	QA016b,1,68
Quants	QA21	53	QA021b,1,53
Quants	QA22	50	QA022b,1,50
Quants	QA23	56	QA023b,1,56
Quants	QA24	57	QA024b,1,57
Quants	QA25	62	QA025b,1,62
Quants	QA26	59	QA026b,1,59
Quants	QA31	56	QA031b,1,56
Quants	QA32	54	QA032b,1,54
Quants	QA33	52	QA033b,1,52
Quants	QA34	52	QA034b,1,54
Quants	QA35	55	QA035b,1,55
Quants	QA41	57	QA041b,1,57
Quants	QA42	55	QA042b,1,55
Quants	QA43	51	QA043b,1,51
Quants	QA44	50	QA044b,1,50
Quants	QA45	60	QA045b,1,60
Quants	QA46	60	QA046b,1,60
